entity_number,registration_date,status,entity_name,jurisdiction,agent_for_service_of_process
C0594486,03/23/1970,ACTIVE,PISTACHIO MUTUAL WATER COMPANY NO. 1,CALIFORNIA,ASHLEY B PORTER
C0594968,03/27/1970,ACTIVE,OAKBROOK VILLAGE ASSOCIATION NO. 1,CALIFORNIA,MICHAEL MARSH
C0595624,04/07/1970,ACTIVE,AUBURN GREENS UNIT NO. 1 HOMEOWNERS ASSOCIATION,CALIFORNIA,KAREN J BRIGG
C0595899,04/10/1970,FTB SUSPENDED,"A-1 FUMIGATING CO., INC.",CALIFORNIA,DONALD K GURWELL
C0596498,04/17/1970,FTB SUSPENDED,"THIEVES CARPET MART NO. 1, INC.",CALIFORNIA,
C0597460,05/01/1970,FTB SUSPENDED,"A-1 STRIPING AND PAVEMENT SPECIALISTS, INC.",CALIFORNIA,
C0598068,05/08/1970,MERGED OUT,BALC CORPORATION NO. 1,CALIFORNIA,
C0598183,05/12/1970,DISSOLVED,"MARRI'S PIZZA, INC. NO. 1",CALIFORNIA,SHERWIN M. KELLMAN
C0599877,06/05/1970,FTB SUSPENDED,"NO. 1 STEVEN D. SYMMS, INC.",CALIFORNIA,
C0600102,06/08/1970,FTB SUSPENDED,THE PUB NO. 1,CALIFORNIA,BERNADETTE SOULIE
C0600798,06/16/1970,FTB SUSPENDED,SOMERSET VILLAGE UNIT NO. 1,CALIFORNIA,
C0601505,06/25/1970,FTB SUSPENDED,A-1 KIDDIE COLLEGE,CALIFORNIA,CHARLOTTE WYCKOFF
C0602266,07/03/1970,DISSOLVED,IN-N-OUT BURGERS NO. 1,CALIFORNIA,DONALD BOLLINGER
C0604180,07/31/1970,ACTIVE,MESA VIEW HOMEOWNERS ASSOCIATION NO. 1,CALIFORNIA,CHARLES BANKS
C0604828,08/10/1970,ACTIVE,VILLAS AT LAKE FOREST PROPERTY OWNERS ASSOCIATION 1,CALIFORNIA,GRANITE PEAK MANAGEMENT (C2070331)
C0605605,08/20/1970,ACTIVE,CORONADO SHORES CONDOMINIUM ASSOCIATION NO. 1,CALIFORNIA,MARK ALAN TRACY
C0606038,08/27/1970,ACTIVE,CAPISTRANO GARDEN HOMES HOMEOWNERS ASSOCIATION NO. 1,CALIFORNIA,CHRISTINE KERVICK
C0606418,02/02/1970,FTB SUSPENDED,"NO. 1 BROWN & ASSOCIATES, INC.",CALIFORNIA,
C0606861,09/11/1970,ACTIVE,CAPISTRANO VILLAS HOMEOWNERS ASSOCIATION NO. 1,CALIFORNIA,CHRISTINE KERVICK
C0607590,09/18/1970,FTB SUSPENDED,"DIRECTIONS 1 & 2, INC.",CALIFORNIA,
C0609405,10/14/1970,ACTIVE,MOUNTAIN VIEW WEST NO. 1,CALIFORNIA,WILLIAM BAVELAS
C0609638,10/16/1970,FTB SUSPENDED,A-1 RENTALS,CALIFORNIA,PEDRO RAMIREZ
C0611378,11/12/1970,FTB SUSPENDED,HJNO 1 CORPORATION,CALIFORNIA,
C0611387,11/12/1970,FTB SUSPENDED,"A-1 READY MIX, INC.",CALIFORNIA,
C0611406,11/13/1970,FTB SUSPENDED,"NO. 1 DONALD J. MACKINDER, INC.",CALIFORNIA,
C0611901,11/19/1970,ACTIVE,CERRITOS VILLAS HOMEOWNERS ASSOCIATION NO. 1,CALIFORNIA,"THE MANAGEMENT ASSOCIATION, INC. (C2810994)"
C0612500,11/27/1970,ACTIVE,"WOODSIDE VILLAGE, ASSOCIATION NO. 1",CALIFORNIA,KRIS A GLAESER
C0613362,12/14/1970,FTB SUSPENDED,CHANNEL 1,CALIFORNIA,
C0615907,01/18/1971,DISSOLVED,EMPIREGAS INC. NO. 1 OF CALIFORNIA,CALIFORNIA,
C0616644,01/28/1971,DISSOLVED,S-1 LIQUIDATING CORP.,CALIFORNIA,
C0616931,02/02/1971,ACTIVE,"WOODSIDE TOWN HOMES NO. 1, INC.",CALIFORNIA,DONALD J. MELCHING
C0617122,02/03/1971,FTB SUSPENDED,HDC - 1,CALIFORNIA,
C0617245,02/05/1971,FTB SUSPENDED,"OAKBROOK TOWN HOMES NO. 1, INC.",CALIFORNIA,MICHAEL MARSH
C0618332,02/24/1971,ACTIVE,"AB A-1 TRUCK AND EQUIPMENT RENTAL SERVICE, INC.",CALIFORNIA,ROBERT M TIFFT
C0619904,03/17/1971,FTB SUSPENDED,A-1 SUPERETTE MARKET,CALIFORNIA,
C0620131,03/22/1971,FTB SUSPENDED,A-1 MOVING & DELIVERY CO.,CALIFORNIA,
C0622440,04/21/1971,DISSOLVED,"A-1 AIR CONDITIONING, HEATING, AND SERVICE COMPANY, INCORPORATED",CALIFORNIA,** RESIGNED ON 02/25/2020
C0624522,05/18/1971,DISSOLVED,A-1 PROTOTYPE,CALIFORNIA,MICHAEL NICOLETTI
C0625138,05/27/1971,ACTIVE,SHOWCASE VILLA OWNERS ASSOCIATION NO. 1,CALIFORNIA,JAMES D PARSONS
C0625889,06/08/1971,ACTIVE,MENDOCINO MANAGEMENT ASSOCIATION NO. 1,CALIFORNIA,MITCHELL T COMPTON
C0627415,06/25/1971,DISSOLVED,"A-1 REMODELING & CONSTRUCTION, INC.",CALIFORNIA,
C0628047,07/01/1971,DISSOLVED,"A-1 GUARD SERVICE, INC.",CALIFORNIA,
C0628138,07/01/1971,FTB SUSPENDED,KING'S TABLE NO. 1,CALIFORNIA,
C0630093,07/28/1971,DISSOLVED,ACCUTECH 1-2-3-4-5-6-7-8-9-10,CALIFORNIA,LYNN A ULANER
C0630099,07/27/1971,DISSOLVED,"A-1 APARTMENT SUPPLY, INC.",CALIFORNIA,
C0630145,07/28/1971,ACTIVE,LAKE FOREST GLEN UNIT NO. 1 HOMEOWNERS ASSOCIATION,CALIFORNIA,ALAN MIESCKE
C0631565,08/13/1971,DISSOLVED,"DELIVERANCE TEMPLE APARTMENTS NO. 1, INC.",CALIFORNIA,
C0631771,08/16/1971,SURRENDER,SMITHS FOOD KING NO 1,UTAH,RICHARD HIGH
C0634004,09/14/1971,ACTIVE,"OCEANA SOUTH, UNIT NO. 1 OWNERS ASSOCIATION",CALIFORNIA,SARA MARESCA
C0634627,09/21/1971,ACTIVE,"A-1 EXPRESS DELIVERY SERVICE, INC.",CALIFORNIA,JOHN GEORGINO
C0634869,09/24/1971,DISSOLVED,"A-1 TRASH BOX, INC.",CALIFORNIA,
C0634962,09/27/1971,DISSOLVED,A-1 ANSWERING SERVICE OF WATSONVILLE,CALIFORNIA,MARIAN L MYERS
C0635349,09/29/1971,FTB SUSPENDED,"A-1 FISHERIES, INC.",CALIFORNIA,WALTER SCOTT
C0636836,09/18/1971,MERGED OUT,"A-1 EASTERN, INC.",CALIFORNIA,MARTIN L. MORHAR
C0637084,10/20/1971,DISSOLVED,"STEINER-RAMIREZ A-1 CONCRETE, INC.",CALIFORNIA,JEFFREY M REID
C0637987,11/01/1971,ACTIVE,"LI'L BEAR'S SERVICE NO. 1, INC.",CALIFORNIA,ROBERT ELIJAH CSIDER
C0638018,11/02/1971,FTB FORFEITED,"1-2-3-RECORDS CO., INC.",GEORGIA,
C0639003,11/11/1971,FTB SUSPENDED,"PIER 1 IMPORTS OF SANTA ROSA, INC.",CALIFORNIA,
C0640395,12/02/1971,DISSOLVED,"A-1 UNLIMITED, INCORPORATED",CALIFORNIA,
C0641451,12/20/1971,ACTIVE,SANS SOUCI HOMEOWNERS ASSOCIATION NO. 1,CALIFORNIA,KATHY POREMBA
C0642075,12/28/1971,FTB SUSPENDED,"A-1 TRUCK WASH, INC.",CALIFORNIA,
C0642768,01/03/1972,SOS/FTB SUSPENDED,"A-1 ROOFING SERVICE, INC.",CALIFORNIA,** RESIGNED ON 08/05/1999
C0643808,01/21/1972,FTB SUSPENDED,PHASE 1 - PATIO OWNERS' ASSOCIATION,CALIFORNIA,
entity_number,registration_date,status,entity_name,jurisdiction,agent_for_service_of_process
C0002006,06/15/1875,FTB SUSPENDED,"COURT ROBIN HOOD NO. 1, FORESTERS OF AMERICA",CALIFORNIA,
